"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV2,RV1";"Potentiometer_Bourns_3386F_Vertical";2;"100k";;;
2;"P10,P9,P8";"WirePad_22AWG";3;"GND";;;
3;"U3";"TSOT-23-5";1;"LT1964-SD";;;
4;"U2";"SOT-23-5";1;"AP2204K-ADJ";;;
5;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TC7662Bx0A";;;
6;"SW1";"SW_STOMP_3PDT";1;"SW_3PDT";;;
7;"R5";"R_0603_1608Metric";1;"33k";;;
8;"R4";"R_0603_1608Metric";1;"22k";;;
9;"R3";"R_0603_1608Metric";1;"8.2k";;;
10;"R2";"R_0603_1608Metric";1;"15k";;;
11;"R1";"R_0603_1608Metric";1;"2.2k";;;
12;"P7";"WirePad_22AWG";1;"VOUT_POS";;;
13;"P6";"WirePad_22AWG";1;"VOUT_NEG";;;
14;"P5";"WirePad_22AWG";1;"OUT";;;
15;"P4";"WirePad_22AWG";1;"RETURN";;;
16;"P3";"WirePad_22AWG";1;"SEND";;;
17;"P2";"WirePad_22AWG";1;"IN";;;
18;"P1";"WirePad_22AWG";1;"9V_IN";;;
19;"D4,D3";"D_SOD-323";2;"1N4148WS";;;
20;"D2";"D_SOD-323F";1;"PMEG4010EJ";;;
21;"D1";"LED_D5.0mm";1;"LED_PTH";;;
22;"C6,C5";"C_0805_2012Metric";2;"2.2u";;;
23;"C4,C3,C2,C1";"C_0805_2012Metric";4;"1u";;;
